ageGroup,virus,u_death,u_incubation,disability_weighting,u_death_natural
0-5,RaTG13,3.63698873591041E-06,0.21691974,0.133,2.97029315068493E-05
5-10,RaTG13,5.89897183364432E-06,0.21691974,0.133,2.97029315068493E-05
10-15,RaTG13,9.55565010233432E-06,0.21691974,0.133,2.97029315068493E-05
15-20,RaTG13,1.57487699875301E-05,0.21691974,0.133,2.97029315068493E-05
20-25,RaTG13,2.55179178714952E-05,0.21691974,0.133,2.97029315068493E-05
25-30,RaTG13,4.13291724639412E-05,0.21691974,0.133,2.97029315068493E-05
30-35,RaTG13,6.70296775566686E-05,0.21691974,0.133,2.97029315068493E-05
35-40,RaTG13,0.000109034019895423,0.21691974,0.133,2.97029315068493E-05
40-45,RaTG13,0.000177996274692532,0.21691974,0.133,2.97029315068493E-05
45-50,RaTG13,0.000288850298947533,0.21691974,0.133,2.97029315068493E-05
50-55,RaTG13,0.000464777546591402,0.21691974,0.133,2.97029315068493E-05
55-60,RaTG13,0.000742413398975928,0.21691974,0.133,2.97029315068493E-05
60-65,RaTG13,0.001181916,0.21691974,0.133,2.97029315068493E-05
65-70,RaTG13,0.001871752,0.21691974,0.133,2.97029315068493E-05
70-75,RaTG13,0.002850106,0.21691974,0.133,2.97029315068493E-05
75+,RaTG13,0.005878205,0.21691974,0.133,2.97029315068493E-05
0-5,Rs4084,3.63698873591041E-06,0.21691974,0.133,2.97029315068493E-05
5-10,Rs4084,5.89897183364432E-06,0.21691974,0.133,2.97029315068493E-05
10-15,Rs4084,9.55565010233432E-06,0.21691974,0.133,2.97029315068493E-05
15-20,Rs4084,1.57487699875301E-05,0.21691974,0.133,2.97029315068493E-05
20-25,Rs4084,2.55179178714952E-05,0.21691974,0.133,2.97029315068493E-05
25-30,Rs4084,4.13291724639412E-05,0.21691974,0.133,2.97029315068493E-05
30-35,Rs4084,6.70296775566686E-05,0.21691974,0.133,2.97029315068493E-05
35-40,Rs4084,0.000109034019895423,0.21691974,0.133,2.97029315068493E-05
40-45,Rs4084,0.000177996274692532,0.21691974,0.133,2.97029315068493E-05
45-50,Rs4084,0.000288850298947533,0.21691974,0.133,2.97029315068493E-05
50-55,Rs4084,0.000464777546591402,0.21691974,0.133,2.97029315068493E-05
55-60,Rs4084,0.000742413398975928,0.21691974,0.133,2.97029315068493E-05
60-65,Rs4084,0.001181916,0.21691974,0.133,2.97029315068493E-05
65-70,Rs4084,0.001871752,0.21691974,0.133,2.97029315068493E-05
70-75,Rs4084,0.002850106,0.21691974,0.133,2.97029315068493E-05
75+,Rs4084,0.005878205,0.21691974,0.133,2.97029315068493E-05
0-5,GX/P1E,3.63698873591041E-06,0.21691974,0.133,2.97029315068493E-05
5-10,GX/P1E,5.89897183364432E-06,0.21691974,0.133,2.97029315068493E-05
10-15,GX/P1E,9.55565010233432E-06,0.21691974,0.133,2.97029315068493E-05
15-20,GX/P1E,1.57487699875301E-05,0.21691974,0.133,2.97029315068493E-05
20-25,GX/P1E,2.55179178714952E-05,0.21691974,0.133,2.97029315068493E-05
25-30,GX/P1E,4.13291724639412E-05,0.21691974,0.133,2.97029315068493E-05
30-35,GX/P1E,6.70296775566686E-05,0.21691974,0.133,2.97029315068493E-05
35-40,GX/P1E,0.000109034019895423,0.21691974,0.133,2.97029315068493E-05
40-45,GX/P1E,0.000177996274692532,0.21691974,0.133,2.97029315068493E-05
45-50,GX/P1E,0.000288850298947533,0.21691974,0.133,2.97029315068493E-05
50-55,GX/P1E,0.000464777546591402,0.21691974,0.133,2.97029315068493E-05
55-60,GX/P1E,0.000742413398975928,0.21691974,0.133,2.97029315068493E-05
60-65,GX/P1E,0.001181916,0.21691974,0.133,2.97029315068493E-05
65-70,GX/P1E,0.001871752,0.21691974,0.133,2.97029315068493E-05
70-75,GX/P1E,0.002850106,0.21691974,0.133,2.97029315068493E-05
75+,GX/P1E,0.005878205,0.21691974,0.133,2.97029315068493E-05
0-5,SARS-CoV-1,6.22296737707177E-05,0.21691974,0.133,2.97029315068493E-05
5-10,SARS-CoV-1,0.000100765726863544,0.21691974,0.133,2.97029315068493E-05
10-15,SARS-CoV-1,0.000162793175106219,0.21691974,0.133,2.97029315068493E-05
15-20,SARS-CoV-1,0.000267094948350297,0.21691974,0.133,2.97029315068493E-05
20-25,SARS-CoV-1,0.000429731993315855,0.21691974,0.133,2.97029315068493E-05
25-30,SARS-CoV-1,0.00068816478628504,0.21691974,0.133,2.97029315068493E-05
30-35,SARS-CoV-1,0.001096035,0.21691974,0.133,2.97029315068493E-05
35-40,SARS-CoV-1,0.001732072,0.21691974,0.133,2.97029315068493E-05
40-45,SARS-CoV-1,0.002701322,0.21691974,0.133,2.97029315068493E-05
45-50,SARS-CoV-1,0.004090764,0.21691974,0.133,2.97029315068493E-05
50-55,SARS-CoV-1,0.005952108,0.21691974,0.133,2.97029315068493E-05
55-60,SARS-CoV-1,0.008262798,0.21691974,0.133,2.97029315068493E-05
60-65,SARS-CoV-1,0.0109016107831992,0.21691974,0.133,2.97029315068493E-05
65-70,SARS-CoV-1,0.0136138848059547,0.21691974,0.133,2.97029315068493E-05
70-75,SARS-CoV-1,0.015955395,0.21691974,0.133,2.97029315068493E-05
75+,SARS-CoV-1,0.0190824362678517,0.21691974,0.133,2.97029315068493E-05
